0,0,0,0,0
202,21.9,-73.6,Unspecified,Ocean
203,22.5,-74.0,Unspecified,Acklins
204,23.2,-74.4,Unspecified,Ocean
205,23.9,-74.6,Unspecified,San Salvador
206,24.6,-74.6,Unspecified,Ocean
207,25.4,-74.5,Unspecified,Ocean
208,26.5,-74.0,Unspecified,Ocean
209,27.4,-73.5,Unspecified,Ocean
210,28.2,-72.9,Unspecified,Ocean
211,29.0,-72.3,Unspecified,Ocean
212,30.2,-71.5,Unspecified,Ocean
213,31.6,-70.5,Unspecified,Ocean
214,32.7,-69.6,Unspecified,Ocean
215,33.8,-69.1,Unspecified,Ocean
216,34.9,-68.6,Unspecified,Ocean
218,17.0,-73.8,Unspecified,Ocean
219,17.1,-75.0,Unspecified,Ocean
220,17.2,-76.3,Unspecified,Ocean
221,17.2,-77.8,Unspecified,Ocean
222,17.7,-79.6,Unspecified,Ocean
223,18.2,-81.5,Unspecified,Ocean
224,18.7,-83.1,Unspecified,Ocean
225,19.5,-84.4,Unspecified,Ocean
226,20.4,-85.5,Unspecified,Ocean
227,21.2,-86.4,Unspecified,Ocean
228,22.4,-86.9,Unspecified,Ocean
229,24.0,-86.8,Unspecified,Ocean
230,25.6,-86.4,Unspecified,Ocean
231,26.9,-85.9,Unspecified,Ocean
232,28.0,-85.5,Unspecified,Ocean
233,29.2,-84.9,Unspecified,Ocean
234,29.9,-84.4,Franklin County,Florida
235,30.5,-83.9,Jefferson County,Florida
236,31.8,-82.8,Jeff Davis County,Georgia
237,33.0,-81.1,Hampton County,South Carolina
238,34.0,-79.5,Marion County,South Carolina
239,35.0,-77.0,Craven County,North Carolina
240,36.0,-74.0,Unspecified,Ocean
241,38.0,-70.0,Unspecified,Ocean
242,40.0,-66.0,Unspecified,Ocean
244,32.5,-69.0,Unspecified,Ocean
246,12.0,-60.0,Unspecified,Ocean
248,12.1,-23.2,Unspecified,Ocean
249,12.3,-25.1,Unspecified,Ocean
250,12.5,-27.0,Unspecified,Ocean
251,12.8,-28.9,Unspecified,Ocean
252,13.0,-30.9,Unspecified,Ocean
253,13.3,-33.0,Unspecified,Ocean
254,13.6,-35.0,Unspecified,Ocean
255,13.9,-36.8,Unspecified,Ocean
256,14.2,-38.5,Unspecified,Ocean
257,14.6,-40.5,Unspecified,Ocean
258,14.9,-42.3,Unspecified,Ocean
259,15.2,-43.9,Unspecified,Ocean
260,15.7,-45.7,Unspecified,Ocean
261,16.2,-47.3,Unspecified,Ocean
262,16.7,-49.0,Unspecified,Ocean
263,17.4,-51.0,Unspecified,Ocean
264,18.2,-52.8,Unspecified,Ocean
265,19.1,-54.6,Unspecified,Ocean
266,19.7,-56.2,Unspecified,Ocean
267,20.7,-58.0,Unspecified,Ocean
268,21.2,-59.9,Unspecified,Ocean
269,22.0,-61.8,Unspecified,Ocean
270,22.7,-63.7,Unspecified,Ocean
271,23.4,-65.3,Unspecified,Ocean
272,24.2,-67.1,Unspecified,Ocean
273,25.0,-68.6,Unspecified,Ocean
274,25.8,-70.1,Unspecified,Ocean
275,26.6,-71.1,Unspecified,Ocean
276,27.3,-72.0,Unspecified,Ocean
277,28.2,-72.9,Unspecified,Ocean
278,29.1,-73.5,Unspecified,Ocean
279,30.2,-74.0,Unspecified,Ocean
280,31.2,-74.3,Unspecified,Ocean
281,32.5,-74.1,Unspecified,Ocean
282,33.7,-73.9,Unspecified,Ocean
283,34.9,-72.9,Unspecified,Ocean
284,36.0,-71.6,Unspecified,Ocean
285,36.8,-69.9,Unspecified,Ocean
286,37.5,-67.9,Unspecified,Ocean
287,38.2,-65.4,Unspecified,Ocean
288,39.0,-62.3,Unspecified,Ocean
289,39.9,-59.4,Unspecified,Ocean
290,40.8,-56.8,Unspecified,Ocean
291,41.9,-53.4,Unspecified,Ocean
292,42.9,-49.5,Unspecified,Ocean
293,43.9,-45.5,Unspecified,Ocean
294,45.0,-41.2,Unspecified,Ocean
295,46.2,-36.2,Unspecified,Ocean
297,37.0,-53.0,Unspecified,Ocean
298,38.0,-51.0,Unspecified,Ocean
299,39.0,-49.0,Unspecified,Ocean
300,40.0,-46.8,Unspecified,Ocean
301,41.3,-44.0,Unspecified,Ocean
302,42.5,-41.5,Unspecified,Ocean
303,43.4,-39.3,Unspecified,Ocean
304,44.5,-37.2,Unspecified,Ocean
305,45.5,-34.7,Unspecified,Ocean
306,46.3,-32.3,Unspecified,Ocean
307,47.0,-30.0,Unspecified,Ocean
308,48.0,-27.5,Unspecified,Ocean
310,20.0,-95.0,Unspecified,Ocean
312,25.8,-62.0,Unspecified,Ocean
313,27.4,-62.5,Unspecified,Ocean
314,29.0,-62.9,Unspecified,Ocean
315,30.6,-63.2,Unspecified,Ocean
316,32.9,-62.6,Unspecified,Ocean
317,34.8,-61.3,Unspecified,Ocean
318,36.0,-59.8,Unspecified,Ocean
319,36.7,-58.4,Unspecified,Ocean
320,36.8,-57.4,Unspecified,Ocean
321,36.3,-56.7,Unspecified,Ocean
322,35.5,-56.9,Unspecified,Ocean
323,35.5,-57.0,Unspecified,Ocean
324,35.4,-57.2,Unspecified,Ocean
325,35.3,-57.4,Unspecified,Ocean
326,35.3,-57.7,Unspecified,Ocean
327,35.4,-57.9,Unspecified,Ocean
328,35.5,-58.1,Unspecified,Ocean
329,35.5,-58.2,Unspecified,Ocean
330,35.8,-58.3,Unspecified,Ocean
331,36.3,-58.0,Unspecified,Ocean
332,37.0,-57.5,Unspecified,Ocean
333,38.0,-56.8,Unspecified,Ocean
335,15.0,-37.0,Unspecified,Ocean
337,27.5,-78.5,Unspecified,Ocean
338,28.0,-78.9,Unspecified,Ocean
339,28.5,-79.3,Unspecified,Ocean
340,28.9,-79.6,Unspecified,Ocean
341,29.3,-79.9,Unspecified,Ocean
342,29.7,-80.2,Unspecified,Ocean
343,30.0,-80.5,Unspecified,Ocean
344,30.3,-80.7,Unspecified,Ocean
345,30.6,-80.9,Unspecified,Ocean
346,30.9,-80.9,Unspecified,Ocean
347,31.3,-80.6,Unspecified,Ocean
348,31.7,-80.1,Unspecified,Ocean
349,32.1,-79.4,Unspecified,Ocean
350,32.5,-78.5,Unspecified,Ocean
352,26.0,-92.5,Unspecified,Ocean
353,26.0,-93.0,Unspecified,Ocean
354,26.0,-93.5,Unspecified,Ocean
355,26.0,-94.0,Unspecified,Ocean
356,26.0,-94.7,Unspecified,Ocean
357,26.1,-95.7,Unspecified,Ocean
358,26.2,-97.0,Unspecified,Ocean
